상권_코드_명,Trend_Index,당월_매출_금액,총_유동인구_수,점포_수,Rent_Index,Vacancy_Rate,Sales_Score,Pop_Score,Trend_Score,Rent_Score,Store_Score,Vacancy_Score,Positive_Factors,Negative_Factors,Coffee_Index_Raw,Coffee_Index
양재역,13.907232122576003,3530178950.5,2513324.0,45.25,0.0,0.0,54.194554097328684,60.21518997285072,52.84456824983707,0.0,55.052264808362374,0.0,33.51836175637788,8.257839721254356,25.260522035123522,100.0
성신여대,17.512550243089642,6430447588.25,2552562.25,77.5,100.575,1.15,100.0,61.41217866768209,100.0,98.77240363368524,100.0,5.679012345679012,52.28243573353642,30.383761779620688,21.89867395391573,92.30001775933381
구로디지털단지역,13.117438649489674,1359321381.0,1588030.75,7.0,0.0,0.0,19.90907527379491,31.988509128170367,42.51453606628578,0.0,1.7421602787456445,0.0,17.752151054025667,0.26132404181184665,17.49082701221382,82.20427804985657
구의역,12.16929267585319,702667462.0,1389842.75,21.75,0.0,0.0,9.538199565237765,25.942653478358256,30.113346697000036,0.0,22.299651567944252,0.0,12.090082591531099,3.3449477351916377,8.745134856339462,62.1731306999821
서울대입구역,12.87756215983184,1620798244.25,3464993.25,30.5,100.25,3.0,24.03871490734615,89.24648809314537,39.37709325030559,98.4532285784434,34.494773519163765,14.814814814814813,29.76554033301145,21.423681796122555,8.341858536888896,61.24946597068982
까치산역,11.833685257449345,622628414.5,3817502.0,18.75,99.375,4.575,8.27410140114259,100.0,25.723799870786458,97.59391112202309,18.118466898954704,22.592592592592595,25.927095330903615,19.616115962405928,6.310979368497687,56.597937064025736
당산역,12.401335260185851,3098292907.0,1164530.25,20.0,100.625,0.0,47.37355395128524,19.06934706677788,33.14832665795597,98.82150748833783,19.860627177700348,0.0,20.62950689987028,17.802320199905726,2.827186699964553,48.618652744839366
상봉역,14.27915647832106,1199289080.25,1804078.5,11.75,99.42500000000001,4.05,17.38160219793151,38.579188230672514,57.70911916804029,97.64301497667567,8.362369337979095,20.0,20.71760607082342,17.900807647198214,2.816798423625208,48.59485942003946
논현역,10.125800597020636,3703044650.75,2438186.5,52.75,101.825,0.0,56.92471170347776,57.92307098033979,3.3856771726090042,100.0,65.50522648083623,0.0,26.32364369782875,24.825783972125436,1.4978597257033144,45.573960109539584
신사역,12.822270683477306,2987801212.5,3247165.25,55.25,101.175,20.25,45.62850134848889,82.60150129027501,38.653913394201666,99.36164988951633,68.98954703832753,100.0,33.725512604307475,35.252679539176576,-1.5271669348691006,38.645434191265174
상계역,11.734198427872554,431876780.25,539421.75,8.5,99.85,3.25,5.2614619684509485,0.0,24.422570895885332,98.06039774122269,3.8327526132404177,16.049382716049383,4.978751126495537,16.888910824774406,-11.91015969827887,14.864210902169411
오류동역,11.100469659524615,295494566.75,636499.25,6.25,99.7,12.45,3.1075069791616743,2.9614131624752016,16.133772880000777,97.91308617726492,0.6968641114982579,61.48148148148148,3.789225309285575,20.93964069146262,-17.150415382177044,2.861920873623665
불광역,9.866945088597166,98736193.25,613621.5,5.75,99.475,7.5,0.0,2.2635123102919765,0.0,97.69211883132826,0.0,37.03703703703704,0.4527024620583953,18.35752152840294,-17.904819066344547,1.1340334646554464
망원역,10.6728659360364,750192928.0,606177.25,23.0,100.375,9.25,10.288793883821674,2.036420554377825,10.540968715415332,98.57598821507489,24.041811846689896,45.67901234567901,4.560627889143283,22.960571243832618,-18.399943354689334,0.0
