상권명,총_점포수,위도,경도,상세지도_URL,평점
4.19민주묘지역 2번,91,37.66297896918368,127.01248967267536,http://place.map.kakao.com/1333883060,
63빌딩,261,37.519814891570896,126.94026158444098,http://place.map.kakao.com/26406915,
DMC(디지털미디어시티),699,37.5761512717257,126.89876332752652,http://place.map.kakao.com/147492770,
GS강동자이아파트,173,37.53801268222193,127.14982016649486,http://place.map.kakao.com/11322348,
G타워,111,37.5576976829012,127.07922825413,http://place.map.kakao.com/471174574,
KB국민은행 망원동지점,247,37.550760977767965,126.91319016092096,http://place.map.kakao.com/20476050,
KB국민은행 서강지점,79,37.54449790258715,126.93529581110852,http://place.map.kakao.com/722651647,
KB국민은행 종암동지점,40,37.5942414105464,127.03625351554156,http://place.map.kakao.com/11657899,
KB국민은행 중화동지점,54,37.59799605244703,127.0798054462837,http://place.map.kakao.com/8828885,
KC대학교,31,37.54868908805067,126.85415538586544,http://place.map.kakao.com/11025307,
KT&G 북부지사,39,37.6354567040391,127.034672677944,http://place.map.kakao.com/1758262348,
KT구로지사,86,37.480843314601,126.903025550698,http://place.map.kakao.com/10992171,
KT금천빌딩(금천구시설관리공단),116,,,,
KT대방빌딩,39,37.4951885714461,126.909086311058,http://place.map.kakao.com/18316746,
KT월곡지사,81,37.6030640089355,127.035944106639,http://place.map.kakao.com/12796156,
NH농협은행 보광동지점,133,37.53485591262266,126.99524689472926,http://place.map.kakao.com/11020352,
NH농협은행 상도동지점,160,37.50047236313393,126.93234258101542,http://place.map.kakao.com/19670168,
Sh수협은행 오금동금융센터(아랫말어린이공원),49,,,,
team204(팀204),148,37.567712875901336,127.0131981771048,http://place.map.kakao.com/24035252,
가락시장,3001,37.4938884413034,127.110927336635,http://place.map.kakao.com/27314504,
가락시장역,1160,37.4930992522183,127.118262745146,http://place.map.kakao.com/21160731,
가로수길,1553,37.52081981612493,127.02272940977892,http://place.map.kakao.com/591186900,
가리봉시장,89,37.4817323018085,126.889343895583,http://place.map.kakao.com/26094887,
가리봉파출소,118,37.4792017308945,126.892667016474,http://place.map.kakao.com/11944736,
가산동우체국,199,37.47843956941298,126.89376589073017,http://place.map.kakao.com/1226500863,
가산동주민센터,129,37.47687631793,126.891779471154,http://place.map.kakao.com/27016199,
가산디지털단지,7441,37.4803959660982,126.882661758356,http://place.map.kakao.com/21160721,
가산디지털단지역 1번 출입구,75,37.4726656039467,126.900675666702,http://place.map.kakao.com/1218626000,
가산초등학교(세일중학교),203,37.4745372181855,126.895698937273,http://place.map.kakao.com/7959939,
가양역 10번,201,37.56239100862689,126.85235169491092,http://place.map.kakao.com/8121196,
가오리역 1번,112,37.63837986708887,127.02627404613166,http://place.map.kakao.com/7967118,
가오리역 2번,86,37.65320370678639,127.0467904684602,http://place.map.kakao.com/396625197,
가인초등학교,106,37.659766053845246,127.04312944541252,http://place.map.kakao.com/8363196,
가좌역 2번,173,37.5511483020045,126.915530001641,http://place.map.kakao.com/1870719892,
가좌역 3번,72,37.5545171391794,126.923468604935,http://place.map.kakao.com/541126759,
간데메공원,242,37.5733627114637,127.048721478311,http://place.map.kakao.com/8126969,
갈산공원,29,37.5081073985697,126.869019038237,http://place.map.kakao.com/27294493,
갈현건영아파트,112,37.628953732928906,126.91340063318626,http://place.map.kakao.com/11041087,
강남 마이스 관광특구,1118,,,,
강남개포시장,327,37.4886843078813,127.067976957752,http://place.map.kakao.com/1917242943,
강남골목시장,56,37.4826864587869,126.904849143824,http://place.map.kakao.com/2144677680,
강남구보훈회관,102,37.5162892306527,127.050127686226,http://place.map.kakao.com/25658106,
"강남구청(청담역_8번, 강남세무서)",557,,,,
강남구청역,1254,37.51721617197854,127.0413109462156,http://place.map.kakao.com/21161042,
강남구청역 2번,58,37.51688572790791,127.04066487688958,http://place.map.kakao.com/27446244,
강남구청역 4번,188,37.51745297311176,127.04177372097674,http://place.map.kakao.com/11245019,
강남세브란스병원미래의학연구센터,47,37.4945052534011,127.044300742906,http://place.map.kakao.com/232593986,
강남시장(강남구 강남시장),44,37.4886843078813,127.067976957752,http://place.map.kakao.com/1917242943,
강남시장(동작구 강남시장),17,37.4968506704133,126.953603539989,http://place.map.kakao.com/18524710,
강남언주로,129,37.5049760288127,127.041307593687,http://place.map.kakao.com/25539194,
강남역,5196,37.49808633653005,127.02800140627488,http://place.map.kakao.com/21160803,
강남을지병원,1226,37.51938504004746,127.02861907401372,http://place.map.kakao.com/8154061,
강동구립 천호도서관,208,37.5406516788332,127.134106523559,http://place.map.kakao.com/1424212883,
강동구립성내도서관,321,37.532860698473,127.133341328252,http://place.map.kakao.com/7940852,
강동구청(강동구청역 2번),49,37.53062469670706,127.12138342217403,http://place.map.kakao.com/22906219,
강동구청역,655,37.5302111983522,127.12044373032,http://place.map.kakao.com/21161045,
강동성심병원,29,37.53603348150811,127.13539940825837,http://place.map.kakao.com/8597981,
강동역 4번(강풀만화거리),542,,,,
강변역(테크노마트),1145,37.5357209474504,127.0956854813862,http://place.map.kakao.com/8560464,
강북구청,160,37.6397513275933,127.025538071854,http://place.map.kakao.com/8160597,
강북문화예술회관,124,37.6408453366338,127.013288149981,http://place.map.kakao.com/10442620,
강북문화정보도서관,31,37.62489854721974,127.03601125702522,http://place.map.kakao.com/23885659,
강북북부골목시장,82,37.6359518069942,127.029674317416,http://place.map.kakao.com/18526230,
강북북부시장,26,37.6363048132568,127.030381424099,http://place.map.kakao.com/23290621,
강북종합전통시장(강북종합골목시장),313,,,,
강북중학교,132,37.6451390450464,127.026305887171,http://place.map.kakao.com/8165174,
강서고등학교,217,37.5367742413057,126.866303216882,http://place.map.kakao.com/8158821,
강서구다솔마을,183,37.5561337750383,126.818251051426,http://place.map.kakao.com/991671239,
강서구청,784,37.5509646154307,126.849533759513,http://place.map.kakao.com/8162335,
강서구청가양동별관,49,37.5605745094059,126.859664509893,http://place.map.kakao.com/10130096,
강서구청옆,71,,,,
강서농산물도매시장,585,37.55304361317403,126.8207765790854,http://place.map.kakao.com/8676648,
강서새말어린이공원,48,37.5518939718075,126.846367717196,http://place.map.kakao.com/7937000,
강일동주민센터,170,37.565042019206615,127.17390630538448,http://place.map.kakao.com/8169047,
개나리아파트,440,37.49856978131905,127.04642014109965,http://place.map.kakao.com/10123859,
개롱역,485,37.49796827838824,127.13507959838424,http://place.map.kakao.com/21160755,
개미어린이공원,41,37.620627519084,127.077826981488,http://place.map.kakao.com/8177145,
개봉1동주민센터,316,37.5002655077823,126.851146433461,http://place.map.kakao.com/8190470,
개봉3동주민센터,86,37.4859969447161,126.853852208063,http://place.map.kakao.com/23895984,
개봉동 현대아파트,477,37.49207898790344,126.85849463174304,http://place.map.kakao.com/11205539,
개봉역,212,37.4946417150651,126.858715959622,http://place.map.kakao.com/21160790,
개봉중앙시장,184,37.4916516906054,126.853872852533,http://place.map.kakao.com/11317713,
개봉중학교,141,37.5028127353151,126.842188874755,http://place.map.kakao.com/21342423,
개봉초등학교,78,37.48969303788138,126.85842450385984,http://place.map.kakao.com/10502361,
개봉프라자(고척근린시장),28,,,,
개웅초등학교(개웅중학교),123,37.4875468554066,126.851108353769,http://place.map.kakao.com/10130865,
개포고등학교,255,37.4850745068127,127.058559720098,http://place.map.kakao.com/8173314,
개포지구대옆,113,,,,
개포지하차도 북측,12,,,,
개화산역 1번,87,37.57212730357536,126.80632862039784,http://place.map.kakao.com/22905381,
거여역,370,37.4933304500736,127.143773841911,http://place.map.kakao.com/21160664,
거여역 1번(거여공원),272,,,,
거여역 8번,13,37.4933164518545,127.143430053549,http://place.map.kakao.com/22906105,
거여초등학교,62,37.5050938300334,127.140905632722,http://place.map.kakao.com/10502362,
건대입구역 1번,147,37.54085286999077,127.068759775125,http://place.map.kakao.com/1451280770,
건대입구역 6번,415,37.5405603131469,127.068297851068,http://place.map.kakao.com/17495221,
건대입구역(건대),1622,37.54353609458752,127.07741635877292,http://place.map.kakao.com/12840668,
경기고교사거리(경기고교앞사거리),264,37.5242371955534,127.047417975116,http://place.map.kakao.com/8109344,
경기대학교,41,37.5651964618968,126.962122732909,http://place.map.kakao.com/11350554,
경동고등학교,244,37.585967762623,127.014560034058,http://place.map.kakao.com/8649865,
경동광성상가(경동시장),158,37.57993368948162,127.03894438095296,http://place.map.kakao.com/18524639,
경동시장,385,37.579039740933176,127.03943411053308,http://place.map.kakao.com/10174942,
경리단길남측,357,,,,
경리단길북측,380,,,,
경문고등학교(동작동성당),100,,,,
경복고등학교,39,37.5871437947775,126.971816946579,http://place.map.kakao.com/360606841,
경복아파트교차로,310,37.50865485757439,127.03856801207992,http://place.map.kakao.com/15141554,
경성고등학교,481,37.5634050990052,126.918859660504,http://place.map.kakao.com/8181482,
경수초등학교,502,37.5403566248381,127.058331366781,http://place.map.kakao.com/7946268,
경신고등학교,112,37.5922467762919,127.000063408274,http://place.map.kakao.com/11285206,
경의선책거리,671,37.557226729996,126.928237335078,http://place.map.kakao.com/793723257,
경의중앙 신촌역,98,37.55967513765615,126.94208931819855,http://place.map.kakao.com/26352363,
경찰병원역,709,37.4960049150853,127.124482397777,http://place.map.kakao.com/11739480,
경찰병원역 3번,121,37.4830468831451,127.12251619575,http://place.map.kakao.com/283544952,
경찰병원역 4번(건너말공원),84,,,,
경찰청앞교차로,111,37.5661167715833,126.966396302177,http://place.map.kakao.com/11143902,
